

     JSBSim Flight Dynamics Model v1.2.1 [GitHub build 1348/commit 9b95d1b5ccff59916c79a0e3eb8f548377910598] Mar  2 2025 15:20:26
            [JSBSim-ML v2.0]

JSBSim startup beginning ...

Using cpu device
---------------------------------
| rollout/           |          |
|    loss                 | 2.07        |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.000159   |
|    value_loss           | 3.74        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 291          |
|    ep_rew_mean          | 0.343        |
| time/                   |              |
|    fps                  | 103          |
|    iterations           | 7            |
|    time_elapsed         | 138          |
|    total_timesteps      | 14336        |
| train/                  |              |
|    approx_kl            | 3.427791e-06 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.1         |
|    explained_variance   | 0.103        |
|    learning_rate        | 3e-06        |
|    loss                 | 1.73         |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.000204    |
|    value_loss           | 3.67         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 290           |
|    ep_rew_mean          | 0.392         |
| time/                   |               |
|    fps                  | 102           |
|    iterations           | 8             |
|    time_elapsed         | 159           |
|    total_timesteps      | 16384         |
| train/                  |               |
|    approx_kl            | 1.4992547e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.1          |
|    explained_variance   | 0.0912        |
|    learning_rate        | 3e-06         |
|    loss                 | 2.07          |
|    n_updates            | 70            |
|    policy_gradient_loss | -0.000333     |
|    value_loss           | 4.07          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 288          |
|    ep_rew_mean          | 0.75         |
| time/                   |              |
|    fps                  | 102          |
|    iterations           | 9            |
|    time_elapsed         | 179          |
|    total_timesteps      | 18432        |
| train/                  |              |
|    approx_kl            | 3.886147e-06 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.1         |
|    explained_variance   | 0.113        |
|    learning_rate        | 3e-06        |
|    loss                 | 1.96         |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.000204    |
|    value_loss           | 4.4          |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 288           |
|    ep_rew_mean          | 1.04          |
| time/                   |               |
|    fps                  | 102           |
|    iterations           | 10            |
|    time_elapsed         | 199           |
|    total_timesteps      | 20480         |
| train/                  |               |
|    approx_kl            | 4.9078953e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.1          |
|    explained_variance   | 0.117         |
|    learning_rate        | 3e-06         |
|    loss                 | 1.4           |
|    n_updates            | 90            |
|    policy_gradient_loss | -0.000186     |
|    value_loss           | 3.98          |
-------------------------------------------
Model saved to /models/Test/finish
